taxid	pg	order	mlst	azm_mic	azm_int	azm_cat	cfm_mic	cfm_int	cfm_cat	cip_mic	cip_int	cip_cat	cro_mic	cro_int	cro_cat
GCGS0049	6	187	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0050	12	735	8154	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0051	6	195	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0052	5	321	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	8	8.0-8.0	R	0.06	0.06-0.06	S
GCGS0053	6	160	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0054	5	288	1901	1	1.0-1.0	S	0.06	0.06-0.06	S	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0055	6	83	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0056	1	620	1901	0.5	0.5-0.5	S	0.06	0.06-0.06	S	8	8.0-8.0	R	0.06	0.06-0.06	S
GCGS0057	6	253	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0058	5	393	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0059	6	128	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0060	1	627	1901	0.5	0.5-0.5	S	0.06	0.06-0.06	S	8	8.0-8.0	R	0.06	0.06-0.06	S
GCGS0061	6	228	1901	0.5	0.5-0.5	S	0.5	0.5-0.5	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0062	4	984	1580	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0063	6	208	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0064	2	824	1893	1	1.0-1.0	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0065	6	207	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0066	6	153	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0067	6	231	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0068	6	152	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0069	6	161	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0070	5	446	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0071	4	1076	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0072	8	784	10316	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0073	4	1061	1580	0.25	0.25-0.25	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0074	2	875	1583	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0075	6	274	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	8	8.0-8.0	R	0.06	0.06-0.06	S
GCGS0076	6	148	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0077	6	125	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0078	1	587	1901	0.06	0.06-0.06	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0079	6	252	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0080	5	292	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0081	6	251	1901	0.125	0.125-0.125	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0082	2	455	10313	0.25	0.25-0.25	S	0.06	0.06-0.06	S	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0083	7	953	9363	0.5	0.5-0.5	S	0.032	0.032-0.032	S	0.008	0.008-0.008	S	0.032	0.032-0.032	S
GCGS0084	7	952	9363	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0085	6	82	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0086	5	297	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0087	6	163	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0088	6	162	1901	0.5	0.5-0.5	S	0.125	0.125-0.125	S	16	16.0-16.0	R	0.063	0.063-0.063	S
GCGS0089	6	7	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0090	9	666	1588	0.25	0.25-0.25	S	0.015	0.015-0.015	S	1	1.0-1.0	R	0.008	0.008-0.008	S
GCGS0091	6	60	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0092	4	983	1580	0.25	0.25-0.25	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0093	6	59	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0094	5	314	1901	1	1.0-1.0	S	0.03	0.03-0.03	S	8	8.0-8.0	R	0.03	0.03-0.03	S
GCGS0095	6	270	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0096	7	921	9363	16	16.0-16.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0097	6	273	1901	0.5	0.5-0.5	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0098	7	920	9363	16	16.0-16.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0099	5	435	1901	1	1.0-1.0	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.25	0.25-0.25	R
GCGS0100	2	838	1893	0.25	0.25-0.25	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0101	6	267	1901	0.125	0.125-0.125	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0102	6	132	1901	16	16.0-16.0	R	0.125	0.125-0.125	S	16	16.0-16.0	R	0.063	0.063-0.063	S
GCGS0103	6	269	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0104	6	35	1901	4	4.0-4.0	R	0.125	0.125-0.125	S	16	16.0-16.0	R	0.063	0.063-0.063	S
GCGS0105	6	182	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0106	4	1033	8126	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0107	6	112	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0108	5	432	1901	0.25	0.25-0.25	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0109	6	284	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0110	7	974	9363	16	16.0-16.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0111	6	283	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.25	0.25-0.25	R
GCGS0112	8	647	10310	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.015	0.015-0.015	S
GCGS0113	6	103	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0114	6	151	1901	0.125	0.125-0.125	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0115	6	104	1901	0.5	0.5-0.5	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0116	1	579	1901	0.06	0.06-0.06	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0117	6	95	10312	0.25	0.25-0.25	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0118	7	904	9363	8	8.0-8.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0119	6	93	10312	0.25	0.25-0.25	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0120	7	943	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0121	6	259	1901	0.5	0.5-0.5	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0122	5	426	1901	0.25	0.25-0.25	S	0.06	0.06-0.06	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0123	6	257	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0124	6	129	1901	1	1.0-1.0	S	0.125	0.125-0.125	S	16	16.0-16.0	R	0.063	0.063-0.063	S
GCGS0125	6	261	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0126	7	903	9363	0.25	0.25-0.25	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0127	6	226	1901	0.25	0.25-0.25	S	0.25	0.25-0.25	R	8	8.0-8.0	R	0.03	0.03-0.03	S
GCGS0128	7	949	9363	8	8.0-8.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0129	6	134	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0130	5	434	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0131	6	54	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0132	5	320	1901	0.5	0.5-0.5	S	0.06	0.06-0.06	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0133	6	262	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0134	1	606	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0135	6	258	1901	0.5	0.5-0.5	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0136	7	950	9363	8	8.0-8.0	R	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0137	6	126	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0138	7	948	9363	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0139	6	264	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.125	0.125-0.125	R
GCGS0140	5	415	1901	1	1.0-1.0	S	0.06	0.06-0.06	S	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0141	6	190	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0142	3	474	1579	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0143	6	191	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0144	4	1039	1580	0.5	0.5-0.5	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0145	6	73	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0146	9	675	1588	0.25	0.25-0.25	S	0.03	0.03-0.03	S	1	1.0-1.0	R	0.008	0.008-0.008	S
GCGS0147	6	194	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0148	5	296	1901	0.5	0.5-0.5	S	0.03	0.03-0.03	S	4	4.0-4.0	R	0.015	0.015-0.015	S
