taxid	pg	order	mlst	azm_mic	azm_int	azm_cat	cfm_mic	cfm_int	cfm_cat	cip_mic	cip_int	cip_cat	cro_mic	cro_int	cro_cat
GCGS0203	4	1072	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0204	7	942	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0205	6	46	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0206	1	580	1901	0.06	0.06-0.06	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0207	4	1060	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0208	8	644	1582	1	1.0-1.0	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0209	4	1066	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0210	9	671	1588	0.25	0.25-0.25	S	0.03	0.03-0.03	S	1	1.0-1.0	R	0.015	0.015-0.015	S
GCGS0211	4	1064	1580	0.25	0.25-0.25	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0212	9	670	1588	0.25	0.25-0.25	S	0.03	0.03-0.03	S	1	1.0-1.0	R	0.015	0.015-0.015	S
GCGS0213	4	1062	1580	0.5	0.5-0.5	S	0.5	0.5-0.5	R	0.004	0.004-0.004	S	0.063	0.063-0.063	S
GCGS0214	5	333	1579	0.5	0.5-0.5	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0215	4	1070	1580	0.25	0.25-0.25	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0216	9	660	1588	0.25	0.25-0.25	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.015	0.015-0.015	S
GCGS0217	4	1051	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0218	7	908	9363	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0219	4	1050	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0220	5	332	1579	0.06	0.06-0.06	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0221	4	1068	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0222	5	445	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.03	0.03-0.03	S
GCGS0223	4	1071	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0224	7	941	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0225	4	1069	1580	0.5	0.5-0.5	S	0.25	0.25-0.25	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0226	7	939	9363	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0227	6	25	1901	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0228	7	936	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0229	6	26	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0230	7	938	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0231	6	225	1901	0.25	0.25-0.25	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0232	5	421	1901	0.5	0.5-0.5	S	0.06	0.06-0.06	S	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0233	6	71	1901	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0234	5	428	1901	0.5	0.5-0.5	S	0.06	0.06-0.06	S	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0235	6	248	1901	0.25	0.25-0.25	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0236	5	420	1901	0.5	0.5-0.5	S	0.06	0.06-0.06	S	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0237	6	120	1901	0.25	0.25-0.25	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0238	5	411	10315	0.5	0.5-0.5	S	0.06	0.06-0.06	S	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0239	6	107	1901	0.5	0.5-0.5	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0240	1	635	1901	0.5	0.5-0.5	S	0.06	0.06-0.06	S	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0241	6	44	1901	0.5	0.5-0.5	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0242	6	227	1901	0.25	0.25-0.25	S	0.063	0.063-0.063	S	4	4.0-4.0	R	0.032	0.032-0.032	S
GCGS0243	12	753	8114	1	1.0-1.0	S	0.002	0.002-0.002	S	0.004	0.004-0.004	S	0.001	0.001-0.001	S
GCGS0244	10	763	1590	1	1.0-1.0	S	0.002	0.002-0.002	S	0.004	0.004-0.004	S	0.001	0.001-0.001	S
GCGS0245	8	797	10931	0.25	0.25-0.25	S	0.002	0.002-0.002	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0246	10	762	1590	8	8.0-8.0	R	0.002	0.002-0.002	S	0.004	0.004-0.004	S	0.001	0.001-0.001	S
GCGS0247	4	882	NA	2	2.0-2.0	R	0.004	0.004-0.004	S	0.008	0.008-0.008	S	0.002	0.002-0.002	S
GCGS0248	8	785	11257	0.5	0.5-0.5	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S	0.002	0.002-0.002	S
GCGS0249	4	1014	1580	4	4.0-4.0	R	0.004	0.004-0.004	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0250	12	750	8114	1	1.0-1.0	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S	0.002	0.002-0.002	S
GCGS0251	2	850	1893	0.25	0.25-0.25	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0252	12	752	8114	2	2.0-2.0	R	0.004	0.004-0.004	S	0.008	0.008-0.008	S	0.002	0.002-0.002	S
GCGS0253	12	751	8114	1	1.0-1.0	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S	0.001	0.001-0.001	S
GCGS0254	4	1100	1580	4	4.0-4.0	R	0.004	0.004-0.004	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0255	8	775	6962	2	2.0-2.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0256	10	756	1590	0.5	0.5-0.5	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0257	8	789	8149	4	4.0-4.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0258	11	730	1584	4	4.0-4.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.002	0.002-0.002	S
GCGS0259	11	729	1584	2	2.0-2.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0260	11	728	1584	2	2.0-2.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0261	12	736	12092	0.5	0.5-0.5	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0262	12	737	12092	0.5	0.5-0.5	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0263	2	776	6962	0.5	0.5-0.5	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0264	4	1092	1580	8	8.0-8.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0265	12	738	8154	0.5	0.5-0.5	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0266	10	757	1590	1	1.0-1.0	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0267	4	1088	1580	4	4.0-4.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0268	11	707	1584	1	1.0-1.0	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0269	4	1022	1580	1	1.0-1.0	S	0.008	0.008-0.008	S	0.002	0.002-0.002	S	0.004	0.004-0.004	S
GCGS0270	3	497	1579	0.25	0.25-0.25	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0271	4	1086	1580	16	16.0-16.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0272	4	1085	1580	16	16.0-16.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0273	11	717	1584	2	2.0-2.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0274	12	733	8154	2	2.0-2.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0275	4	1012	1580	2	2.0-2.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0276	4	1013	1580	1	1.0-1.0	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0277	8	809	1932	0.25	0.25-0.25	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0278	5	343	1901	0.25	0.25-0.25	S	0.008	0.008-0.008	S	2	2.0-2.0	R	0.004	0.004-0.004	S
GCGS0279	8	649	8143	0.25	0.25-0.25	S	0.008	0.008-0.008	S	0.125	0.125-0.125	S	0.008	0.008-0.008	S
GCGS0280	11	701	1584	2	2.0-2.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0281	8	807	1932	0.5	0.5-0.5	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0282	11	709	1584	2	2.0-2.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0283	11	703	1584	8	8.0-8.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0284	11	700	1584	4	4.0-4.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0285	4	1090	1580	16	16.0-16.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0286	2	871	1583	0.25	0.25-0.25	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0287	3	471	1579	0.25	0.25-0.25	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0288	4	1102	1580	4	4.0-4.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0289	4	1097	1580	8	8.0-8.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0290	11	710	1584	2	2.0-2.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0291	12	734	8154	2	2.0-2.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0292	11	731	10935	0.125	0.125-0.125	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0293	11	711	1584	1	1.0-1.0	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0294	10	761	1590	0.25	0.25-0.25	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.002	0.002-0.002	S
GCGS0295	8	810	1932	4	4.0-4.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S
GCGS0296	2	876	7367	2	2.0-2.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0297	2	878	7367	2	2.0-2.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0298	2	877	7367	2	2.0-2.0	R	0.008	0.008-0.008	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0299	4	1096	1580	4	4.0-4.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0300	4	1032	8126	8	8.0-8.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0301	8	794	10931	2	2.0-2.0	R	0.008	0.008-0.008	S	0.002	0.002-0.002	S	0.008	0.008-0.008	S
GCGS0302	11	724	1584	4	4.0-4.0	R	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0303	12	746	1585	0.25	0.25-0.25	S	0.008	0.008-0.008	S	0.004	0.004-0.004	S	0.002	0.002-0.002	S
GCGS0304	8	768	10634	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.002	0.002-0.002	S
GCGS0305	8	780	10316	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0306	2	880	12524	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0307	8	778	NA	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0308	4	988	1580	4	4.0-4.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0309	3	492	1579	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0310	11	727	1584	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0311	11	702	1584	4	4.0-4.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0312	11	697	1584	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0313	12	744	1585	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0314	13	557	7363	0.125	0.125-0.125	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0315	11	695	10317	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0316	7	890	9363	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0317	2	872	1583	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0318	2	821	1893	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0319	5	391	1901	0.125	0.125-0.125	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0320	5	440	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0321	9	674	1588	0.25	0.25-0.25	S	0.015	0.015-0.015	S	1	1.0-1.0	R	0.008	0.008-0.008	S
GCGS0322	8	798	10931	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0323	4	1094	1580	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0324	2	848	1893	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0325	2	818	1893	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0326	3	480	1579	1	1.0-1.0	S	0.032	0.032-0.032	S	0.016	0.016-0.016	S	0.016	0.016-0.016	S
GCGS0327	1	589	1901	2	2.0-2.0	R	0.015	0.015-0.015	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0328	2	819	1893	2	2.0-2.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0329	4	1099	1580	8	8.0-8.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0330	2	813	7822	2	2.0-2.0	R	0.015	0.015-0.015	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0331	9	657	1588	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0332	7	919	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0333	5	400	1901	0.06	0.06-0.06	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0334	9	667	1588	0.25	0.25-0.25	S	0.015	0.015-0.015	S	1	1.0-1.0	R	0.008	0.008-0.008	S
GCGS0335	2	846	1893	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0336	2	851	1893	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0337	4	1078	1580	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0338	7	895	9363	16	16.0-16.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0339	2	873	11423	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0340	4	1027	1580	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0341	4	1024	1580	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0342	4	1025	1580	2	2.0-2.0	R	0.015	0.015-0.015	S	0.002	0.002-0.002	S	0.015	0.015-0.015	S
GCGS0343	4	1026	1580	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0344	6	142	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0345	11	706	11418	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0346	9	655	1588	0.03	0.03-0.03	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0347	2	832	11412	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0348	8	770	12086	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0349	2	826	1893	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0350	8	802	10931	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0351	12	740	8154	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S
GCGS0352	5	414	1901	2	2.0-2.0	R	0.015	0.015-0.015	S	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0353	8	790	8149	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0354	7	934	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0355	7	962	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.03	0.03-0.03	S	0.015	0.015-0.015	S
GCGS0356	4	1031	1580	4	4.0-4.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0357	8	772	1594	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0358	8	642	1902	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0359	2	860	1893	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0360	5	443	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0361	7	912	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0362	2	854	1893	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0363	8	686	10932	4	4.0-4.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0364	2	857	1893	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0365	2	852	1893	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0366	3	500	1579	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0367	3	496	1579	4	4.0-4.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0368	5	404	1901	0.5	0.5-0.5	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0369	8	650	8136	0.06	0.06-0.06	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0370	8	653	1582	0.06	0.06-0.06	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0371	7	927	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0372	7	894	9363	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0373	8	777	6962	0.125	0.125-0.125	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0374	4	1015	1580	1	1.0-1.0	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.004	0.004-0.004	S
GCGS0375	12	745	1585	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0376	8	684	10932	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.5	0.5-0.5	S	0.008	0.008-0.008	S
GCGS0377	8	786	12007	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0378	7	893	9363	1	1.0-1.0	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0379	7	892	9363	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0380	4	1091	1580	8	8.0-8.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0381	5	366	7371	0.5	0.5-0.5	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0382	6	146	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.008	0.008-0.008	S
GCGS0383	9	656	1588	0.125	0.125-0.125	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0384	5	444	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0385	5	364	1901	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.015	0.015-0.015	S
GCGS0386	11	705	1584	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0387	11	704	1584	2	2.0-2.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0388	5	407	1901	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.015	0.015-0.015	S
GCGS0389	3	502	12091	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.008	0.008-0.008	S
GCGS0390	11	716	1584	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0391	4	1098	1580	8	8.0-8.0	R	0.015	0.015-0.015	S	0.008	0.008-0.008	S	0.015	0.015-0.015	S
GCGS0392	4	1087	1580	8	8.0-8.0	R	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0393	2	829	1893	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.008	0.008-0.008	S
GCGS0394	2	874	8156	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0395	11	714	1584	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0396	9	659	1588	0.125	0.125-0.125	S	0.015	0.015-0.015	S	4	4.0-4.0	R	0.008	0.008-0.008	S
GCGS0397	13	559	7363	0.25	0.25-0.25	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.008	0.008-0.008	S
GCGS0398	9	669	1588	0.03	0.03-0.03	S	0.015	0.015-0.015	S	0.5	0.5-0.5	S	0.008	0.008-0.008	S
GCGS0399	13	558	7363	0.25	0.25-0.25	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0400	8	688	10932	0.25	0.25-0.25	S	0.015	0.015-0.015	S	0.004	0.004-0.004	S	0.015	0.015-0.015	S
GCGS0401	7	922	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0402	7	954	9363	4	4.0-4.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0403	7	955	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.03	0.03-0.03	S
GCGS0404	7	958	9363	2	2.0-2.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
